CO_CNES;CO_IBGE;NO_FANTASIA;ESTADO;MUNICIPIO;CO_CEP;NO_BAIRRO;NO_LOGRADOURO;NU_ENDERECO;NO_COMPLEMENTO;NU_LATITUDE;NU_LONGITUDE
2354330;2600708;SECRETARIA MUNICIPAL DE SAUDE DE ALIANCA;PE;ALIANCA;55890000;CENTRO;PRACA JOAO BATISTA;S/N;;-7.604447466427643;-35.23008584976196
2431165;2610608;SECRETARIA MUNICIPAL DE SAUDE DE PAUDALHO;PE;PAUDALHO;55825000;CENTRO;RUA DE SANTA TEREZA;38;;-7.896808028772562;-35.17631560564041
2435845;2606408;GRAVATA CLINICAL CENTER;PE;GRAVATA;55642210;CENTRO;AVN AGAMENON MAGALHAES;269;;-8.197218346343695;-35.55259466171265
7819153;2605608;NASF I FLORES;PE;FLORES;56850000;CENTRO;RUA ANTONIO CLEMENTE DINIZ;27;SALA 02 A 04;-7.864508366894752;-37.97701120376587
7819749;2607000;CENTRO DE ATENCAO PSICOSSOCIAL DE INAJA;PE;INAJA;56560000;CENTRO;RUA PADRE AUGUSTINHO BOLHEN;S/N;;-8.903;-37.827
7885164;2704302;CLIOM;AL;MACEIO;57020680;CENTRO;RUA ENGENHEIRO ROBERTO MENEZES;95;;-9.666013384856118;-35.73498487472534
3230139;2612000;UNIDADE DE SAUDE DA FAMILIA URBANA DE SAIRE;PE;SAIRE;55695000;CENTRO;RUA MAXIMINO RUFINO DA SILVA;55;CASA;-8.326703866493201;-35.70936977863312
2007517;2707206;UBS SAO CAETANO;AL;POCO DAS TRINCHEIRAS;57510000;ZONA RURAL;POVOADO QUANDU;S/N;;-9.238358;-37.228823
2008491;2707206;SECRETARIA MUNICIPAL DE SAUDE DE POCO DAS TRINCHEIRAS;AL;POCO DAS TRINCHEIRAS;57510000;CENTRO;RUA SAO JOSE;S/N;;-9.308572194888344;-37.286975383758545
4020510;2707305;HOSPITAL MUNICIPAL DE PORTO CALVO;AL;PORTO CALVO;57900000;CENTRO;RUA ALTO DA FORCA;S/N;;-9.0538154;-35.3984675
2008718;2707404;UNIDADE DE SAUDE DA FAMILIA VALDOMERO A DA COSTA;AL;PORTO DE PEDRAS;57945000;ZONA RURAL;RUA 09 DE JULHO;S/N;DISTLAGE;-9.194673990490227;-35.32348841428757
3413233;2604106;CENTRO DE FONOAUDIOLOGIA DE CARUARU LTDA;PE;CARUARU;55016080;MAURICIO DE NASSAU;RUA CAPITAO MILTON PRADO;85;;-8.281207486890947;-35.966717004776
3448894;2610707;USF SITIO FRAGOSO II;PE;PAULISTA;53423600;SITIO FRAGOSO;RUA BENJAMIM;20;LOTE 03 QUA A;-7.946292786642604;-34.87562656402588
3444872;2600104;COP;PE;AFOGADOS DA INGAZEIRA;56800000;CENTRO;RUA APARICIO VERAS;568;SALA B;-7.751241809454663;-37.635533809661865
7773633;2702405;FISIOPILATES SAUDE INTEGRADA;AL;DELMIRO GOUVEIA;57480000;ELDORADO;MARECHAL HERMES DA FONSECA;40;;-9.37746;-38.001297
7791720;2704203;UNIDADE DE SAUDE DA FAMILA CADOZ;AL;LIMOEIRO DE ANADIA;57260000;ZONA RURAL;POVOADO CADOZ;S/N;;-9.741569;-36.477016
7768761;2700300;ORTHOCLIN;AL;ARAPIRACA;57300010;OURO PRETO;RUA DOMINGOS CORREIA;971;;-9.752;-36.661
7906412;2607000;POSTO DE SAUDE INDIGENA ALDEIA FUNIL;PE;INAJA;56560000;ALDEIA;ALDEIA FUNIL;S/N;;-8.903;-37.827
7900570;2704302;CLINICA DR PAULO DE JESUS;AL;MACEIO;57020360;CENTRO;RUA BARAO DE MACEIO;311;;-9.6656478;-35.7413685
7894198;2605707;POSTO DE SAUDE INDIGENA CARAIBAS;PE;FLORESTA;56400000;ALDEIA;ALDEIA CARAIBAS;S/N;;-8.601;-38.568
7884710;2613909;S B LABORATORIO DE ANALISE CLINICA;PE;SERRA TALHADA;56912440;CENTRO;RUA INOCENCIO GOMES DE ANDRADE;679;CASA;-7.9908949;-38.2962009
7870426;2707107;CENTRO DE ESPECIALIDADES MEDICAS DE PIRANHAS;AL;PIRANHAS;57460000;XINGO;AVENIDA ALAGOAS;S/N;;-9.624;-37.757
2714434;2606101;SINDICATO DOS TRABALHADORES RURAIS DE GLORIA DO GOITA;PE;GLORIA DO GOITA;55620000;CENTRO;RUA MADRE DE DEUS;265;;-7.9991003;-35.2910462
7913524;2704302;CONSULTORIO JULIANA BRASIL;AL;MACEIO;57036001;JATIUCA;RUA DR ANTONIO GOMES DE BARROS;625;;-9.666055690938848;-35.73502779006958
2008815;2707503;ESF BARRA DO ITIUBA;AL;PORTO REAL DO COLEGIO;57290000;ZONA RURAL;POVOADO BARRA DO ITIUBA;S/N;;-10.211271598982732;-36.770706474781036
2011247;2707503;ESF MARABA;AL;PORTO REAL DO COLEGIO;57290000;ZONA RURAL;POVOADO MARABA;S/N;;-10.055856989728618;-36.71039700508118
2720744;2707602;POSTO DE SAUDE IPUEIRA;AL;QUEBRANGULO;57750000;ZONA RURAL;POVOADO IPUEIRA;S/N;;-9.322018129322062;-36.47433042526245
2721376;2707602;POSTO DE SAUDE VILA SAO FRANCISCO;AL;QUEBRANGULO;57750000;CENTRO;POVOADO SAO FRANCISCO;S/N;;-9.323606197628054;-36.462485790252686
2721821;2707602;UNIDADE DA FAMILIA ERNESTO JOSE DE ALBUQUERQUE;AL;QUEBRANGULO;57750000;ZONA RURAL;POVOADO LAGOA QUEIMADA;S/N;;-9.310146;-36.454523
7909497;2607901;CENTRO DE ESPECIALIDADES MEDICAS;PE;JABOATAO DOS GUARARAPES;54410010;PIEDADE;BERNARDO VIEIRA DE MELO;2222;;-8.172594;-34.916515
7927266;2611507;ACADEMIA DA SAUDE DE QUIPAPA;PE;QUIPAPA;55415000;CENTRO;VILA CRUZEIRO;S/N;;-8.828;-36.012
7927673;2704302;IPC LABORATORIO MEDICO;AL;MACEIO;57035050;PONTA VERDE;RUA DR POMPEU SARMENTO;52;;-9.6605331;-35.7004577
7927746;2606002;SPECIAL CARE;PE;GARANHUNS;55295970;SANTO ANONIO;RUA JOAQUIM TAVORA;180;SALA 01;-8.885538067200333;-36.487441062927246
7825021;2611101;POLLY TORRES CLINICA PSICOLOGICA LTDA;PE;PETROLINA;56328480;AREIA BRANCA;AVENIDA PARAIBA;295;;-9.3788259;-40.4909917
7825587;2613909;EVELINE MARCELA PEREIRA LIMA;PE;SERRA TALHADA;56903000;NOSSA SENHORA DA PEN;R ENOCK INACIO DE OLIVEIRA;894;CASA;-7.986;-38.296
7942109;2600203;POSTO DE SAUDE DE TRES PAUS;PE;AFRANIO;56360000;ZONA RURAL;SITIO TRES PAUS;S/N;;-8.464901536620907;-40.97145080566406
6352219;2700102;DISTRITO SANITARIO ESPECIAL INDIGENA AGUA BRANCA;AL;AGUA BRANCA;57490000;ZONA RURAL;SITIO JANUARIA;S/N;ALDEIA KALANKO;-9.262;-37.938
7926782;2704302;FUNCAE;AL;MACEIO;57046140;BARRO DURO;AV GETULIO VARGAS;S/N;;-9.489536;-35.8504555
7792263;2702504;POLO DE ACADEMIA DE SAUDE DE DOIS RIACHOS;AL;DOIS RIACHOS;57560000;CENTRO;AVENIDA FREI DAMIAO BOZZANO;S/N;;-9.388558;-37.091152
7841027;2704302;FAM DOWN REABILITACAO;AL;MACEIO;57057190;PINHEIRO;RUA JOSE FERRAZ DE CAMARGO;9512;;-9.6300732;-35.7424491
7940823;2701209;UNIDADE DE SAUDE MANUEL FERREIRA NETO;AL;CACIMBINHAS;57570000;CENTRO;LOTEAMENTO MARIA GONZAGA;S/N;;-9.403593115862732;-36.997833251953125
7951981;2611101;CENTRO DE MEDICINA NUCLEAR DE PETROLINA LTDA ME;PE;PETROLINA;56304010;CENTRO;RUA PACIFICO DA LUZ;850;;-9.4012853;-40.5012271
7928890;2703759;UBS VEREADOR AUGUSTO CELESTINO DOS SANTOS;AL;JEQUIA DA PRAIA;57255000;CENTRO;RUA DO OITIZEIRO;S/N;;-10.011770332535532;-36.022024154663086
7845413;2606002;CONSULTORIO ODONTOLOGICO GERSON DILETIERI CARVALHO;PE;GARANHUNS;55295515;HELIOPOLIS;AV FREI CANECA;349;;-8.884393256982037;-36.48085355758667
7842724;2704302;ESCOLA ESPECIAL PESTALOZZI DE MACEIO;AL;MACEIO;57073550;VILLAGE II;AV SAO PEDRO;20;LOT 07 QD 30;-9.7677287;-35.8458111
2006936;2704302;APAE MACEIO;AL;MACEIO;57010070;PRADO;AV ASSIS CHATEABRIAND;2700;;-9.670899702224517;-35.7430100440979
2006669;2704302;LABORATORIO SAMUEL PESSOA;AL;MACEIO;57010002;PRADO;AV SIQUEIRA CAMPOS;508;;-9.6735681;-35.7631327
7818084;2602902;SINAPSIC LTDA;PE;CABO DE SANTO AGOSTINHO;54510270;VILA DR MANOEL CLEME;RUA MANOEL LELIS BARBOSA;28;;-8.280177;-35.0297118
7829906;2611606;PREVLAB;PE;RECIFE;50020000;SAO JOSE;AV DANTAS BARRETO;1059;;-8.0698615;-34.8816149645237
0035041;2612703;ESF SITIO COQUEIRO;PE;SANTA MARIA DO CAMBUCA;55765000;ZONA RURAL;SITIO COQUEIRO;S/N;;-7.84;-35.902
0044377;2604106;CONSULTORIO DR CARLOS ROMEIRO;PE;CARUARU;55012290;MAURICIO DE NASSAU;AV AGAMENON MAGALHAES;444;SL 718;-8.274900957762918;-35.97368001937866
0026042;2704302;CLINEM;AL;MACEIO;57084650;BENEDITO BENTES;AV NORMA PIMENTEL;704;;-9.557078799338887;-35.717926025390625
2702991;2600500;HOSPITAL DR JOAO SECUNDINO DE SOUZA;PE;AGUAS BELAS;55340000;CENTRO;TRAVESSA AMAZONAS;S/N;;-9.115571720426663;-37.11788892745972
2715325;2602704;UNIDADE MISTA MARIA TEREZA BRENANND COELHO;PE;BUENOS AIRES;55845000;CENTRO;AV MAJOR SEVERINO MENDES;35;;-7.725301843458546;-35.32621622085571
3009270;2612604;UNIDADE MOVEL MARCOPOLO;PE;SANTA MARIA DA BOA VISTA;56380000;CENTRO;RUA NUNES MAHADO;50;;-8.807442;-39.824028
0082457;2607208;AMBULATORIO BUNGE ALIMENTO;PE;IPOJUCA;55590000;KM 10 ROD PE 60;AVENIDA PORTUARIA;S/N;LOT 20;-8.406743621588074;-35.06878852844238
7822804;2608305;CONSULTORIO ODONTOLOGICO ODONTOK;PE;JUPI;55395000;CENTRO;PRACA PEDRO PAULO FILHO;04;;-8.712;-36.415
2630605;2605806;USF II QUATRO CANTOS;PE;FREI MIGUELINHO;55780000;ZONA RURAL;POVOADO DE CHA DO CARMO;S/N;;-7.940724819866888;-35.911152362823486
2630621;2605806;USF IV LAGOA AZUL;PE;FREI MIGUELINHO;55780000;ZONA RURAL;POVOADO DE LAGOA DE JOAO CARLOS;S/N;;-7.944741414174803;-35.91563701629639
2354276;2600708;PSF JOAO BORBA MARANHAO;PE;ALIANCA;55890000;COHAB;R 02;S/N;;-7.604256045765569;-35.23186683654785
2714132;2608909;UNIDADE DE SAUDE DA FAMILIA DO JUA;PE;LIMOEIRO;55700000;JUA;RUA ANALIA DE ANDRADE LIMA;33;;-7.877601763791593;-35.44283866882324
2636689;2616308;PSF LOT JRMC FIGUEIREDO;PE;VICENCIA;55850000;CENTRO;RUA ALBERTO ALBERTINS;23;;-7.657;-35.327
2631504;2605004;ESF MUTIRAO;PE;CUPIRA;55460000;MUTIRAO;AV MIGUEL PEREIRA NETO;S/N;;-8.596700603451403;-35.953145027160645
2704110;2610202;ESF CRUZES I;PE;PANELAS;55473000;VILA DE CRUZES;RUA ARCELINO PEDRO DE LIMA;S/N;;-8.664;-36.006
2631903;2600500;PSF JOSE WELLINGTON ALVES RODRIGUES;PE;AGUAS BELAS;55340000;DISTRITO;FAZENDA GARANHUNZINHO;S/N;;-9.111;-37.123
2433702;2608008;POSTO DE SAUDE DE JUNDIA;PE;JATAUBA;55180000;CENTRO;RUA CENTRAL;S/N;;-7.986817655353924;-36.58327102661133
2704153;2600500;USF ZUMBI;PE;AGUAS BELAS;55340000;DISTRITO;POVOADO DE TANQUINHOS;S/N;;-9.111;-37.123
2551667;2600203;ESF ANA COELHO NONATO;PE;AFRANIO;56360000;ZONA RURAL;POVOADO DE POCAO;S/N;;-8.687730040480623;-41.29492521286011
2631776;2610202;ESF SAO JOSE DO BOLA;PE;PANELAS;55473000;ZONA RURAL;VILA DE SAO JOSE DO BOLA;S/N;;-8.664;-36.006
2636107;2602704;PSF LOTEAMENTO NOSSA SENHORA DE FATIMA;PE;BUENOS AIRES;55845000;LOTEAMENTO;RUA PROJETADA 18;33;;-7.7205641;-35.3256922
2713926;2608909;UNIDADE DE SAUDE DA FAMILIA GERALDO DE MEDEIROS;PE;LIMOEIRO;55700000;CONGAL;AV CAPIBARIBE;871;CASA;-7.888186707385814;-35.46105623245239
2706776;2604403;PSF DA VILA MANOEL SEVERINO DE MENDONCA;PE;CHA DE ALEGRIA;55835000;VILA DO CAMPO;RUA ANTONIO SILVERO DA SILVA JUNIOR;S/N;;-8.00152206800709;-35.21137475967407
2347148;2615508;PSF ACUDINHO;PE;TRACUNHAEM;55805000;RURAL;SITIO ACUDINHO;S/N;;-7.803223235787197;-35.23641586303711
2428172;2612109;PSF DE QUEIMADOS;PE;SALGADINHO;55675000;CENTRO;SITIO QUEIMADAS;55675000;;-7.940533552491441;-35.63741683959961
2432153;2610608;PSF DO BOBOCAO;PE;PAUDALHO;55825000;BOBOCAO;RUA BEATRIZ CASTRO;19;;-7.904147;-35.174931
2631954;2608602;PSF DO CABOCLO;PE;LAGOA DO OURO;55320000;ZONA RURAL;SITIO CABOCLO;S/N;CASA;-9.10832580285145;-36.49490833282471
2703327;2604155;PSF DO JUNCO;PE;CASINHAS;55755000;SITIO;POV DO JUNCO;S/N;;-7.729958397458133;-35.72402000427246
2632373;2606507;PSF DO POCO DO COSMO;PE;IATI;55345000;Z RURAL;SITIO POCO DO COSMO;S/N;;-9.046;-36.846
2636352;2609501;PSF DO SITIO NOVO;PE;NAZARE DA MATA;55800000;CENTRO;RUA JOSE PEDRO DA SILVA;S/N;SITIO NOVO;-7.742460671803232;-35.22796154022217
2352060;2616183;UBS GAMBA;PE;VERTENTE DO LERIO;55760000;ZONA RURAL;SITIO GAMBA;S/N;;-7.771;-35.85
2714078;2607653;PSF IBIRANGA II;PE;ITAMBE;55920000;IBIRANGA;DESEMBARGADOR JOAO PAZ;S/N;;-7.377214187158151;-35.23969888687134
2712997;2604205;POSTO DE SAUDE DO MATADOURO;PE;CATENDE;55400000;MATADOURO;RUA MANOEL CASSIMIRO;S/N;;-8.667;-35.717
2703688;2603801;UNIDADE DE SAUDE DA FAMILIA DO OLHO DAGUA;PE;CAPOEIRAS;55365000;ZONA RURAL;SITIO OLHO DAGUA DOS POLVORAS;S/N;;-8.735;-36.627
2433303;2609105;POSTO DE SAUDE JOSEFA ANA DA CONCEICAO;PE;MACHADOS;55740000;ZONA RURAL;SITIO SIQUEIRA;S/N;;-7.683369285805757;-35.51253318786621
2346931;2603801;POSTO DO ALEGRE US F DO ALEGRE;PE;CAPOEIRAS;55365000;CENTRO;ZONA RURAL;S/N;;-8.73899465747632;-36.633782386779785
2355124;2603926;USF MASSAPE;PE;CARNAUBEIRA DA PENHA;56420000;CENTRO;AV MAJOR DARIO FERRAZ DE SA;141;;-8.322;-38.744
2350513;2608909;UNIDADE DE SAUDE DA FAMILIA VIRGILIO LAPENDA;PE;LIMOEIRO;55700000;ZONA RURAL;RUA AGRIPINO DE ALMEIDA;S/N;VILA URUCUBA;-7.843358257320287;-35.42095184326172
2353962;2608701;U S F JOSEFA NUNES DA SILVA;PE;LAGOA DOS GATOS;55450000;ENTROCAMENTO;RUA DO ENTROCAMENTO;S/N;;-8.658;-35.9
9988459;2602308;PAED;PE;BONITO;55680000;CENTRO;RUA DAVINO COELHO;49;;-8.47;-35.729
9982795;2610707;EXTRAODONTO;PE;PAULISTA;53442045;JARDIM MARANGUAPE;PREFEITO GERALDO PINHO ALVES;193;LOJA 105;-7.951690667062904;-34.85163688659668
0086991;2702801;CENTRO MUNICIPAL DE REABILITACAO LUIZA RIBEIRO DE MAGALHAES;AL;FLEXEIRAS;57995000;CENTRO;RUA PROFA MARIA ISABEL COSTA SOUZA;S/N;;-9.27583394772682;-35.72582244873047
9106367;2704302;CONSULTORIO ODONTOLOGICO JUNLIANA PEIXOTO SANTA RITA;AL;MACEIO;57036510;JATIUCA;RUA DR JOSE AFONSO DE MELLO;118;ED HARMONY SL 313;-9.6480093;-35.7053833
6439381;2607000;POSTO DE SAUDE INDIGENA ALDEIA BAIXA DA ALEXANDRA;PE;INAJA;56560000;ZONA RUAL;ALDEIA BAIXA DA ALEXANDRA;S/N;;-8.903;-37.827
9127704;2611606;HAPCLINICA MARIO DOMINGUES;PE;RECIFE;50100060;BOA VISTA;RUA MARIO DOMINGUES;152;;-8.0598881;-34.8963748
9098941;2604106;ESPACO MEDEIROS DRA DENISE DE ASSIS;PE;CARUARU;55012060;MAURICIO DE NASSAU;AV CAMPOS SALES;39;1 ANDAR;-8.2782964;-35.9737934
3231011;2708907;UNIDADE DE SAUDE DA FAMILIA II;AL;SATUBA;57120000;CENTRO;RUA SANTOS DUMONT;S/N;;-9.563;-35.824
3413667;2704302;UNIDADE DE SAUDE DA FAMILIA VEREADOR SERGIO QUINTELLA 7 DS;AL;MACEIO;57081090;TABULEIRO DO MARTINS;RUA MARQUES DE TAMANDARE;02;;-9.6613641;-35.7257424
2698838;2613206;PSF LUIZ AUGUSTO RODRIGUES;PE;SAO JOAO;55435000;CENTRO;RUA MANOEL RODRIGUES;S/N;;-8.8782043;-36.3595313
9041036;2702405;POSTO DE SAUDE MALHADA;AL;DELMIRO GOUVEIA;57480000;ZONA RURAL;POVOADO MALHADA;S/N;;-9.431897;-38.042628
9054278;2612802;ACADEMIA DA SAUDE BAIRRO SAO JOSE;PE;SANTA TEREZINHA;56750000;SAO JOSE;PRACA SAO JOSE;S/N;;-7.371737199879959;-37.479005455970764
7943253;2704302;NEOLAB;AL;MACEIO;57050000;FAROL;AV FERNANDES LIMA;S/N;HOSPITAL DO ACUCAR;-9.6220954;-35.7389489
3403289;2609907;USF ALTO PARAISO;PE;OURICURI;56200000;ALTO PARAISO;AVENIDA AIRTON SENA;S/N;CASA;-7.888888109743255;-40.0697135925293
3415104;2606606;POSTO DE SAUDE AREIA BRANCA USF;PE;IBIMIRIM;56580000;AREIA BRANCA;RUA FLORIANO NEVES DA SILVA;S/N;CENTRO;-8.541;-37.69
7943784;2602100;ALFREDO GERMANO MATOS CAVALCANTE;PE;BOM CONSELHO;55330000;CENTRO;RUA CONSELHEIRO JOAO ALFREDO;10;;-9.17;-36.68
7924437;2706505;SLAC SAO LUCAS LABORATORIO DE ANALISES CLINICAS E CITOP;AL;PASSO DE CAMARAGIBE;57930000;CENTRO;CENTRO;S/N;;-9.244199249254827;-35.490705370903015
7928068;2612703;ACADEMIA DA SAUDE DE SANTA MARIA DO CAMBUCA;PE;SANTA MARIA DO CAMBUCA;55765000;CENTRO;RUA MADRINHA SINHA;S/N;;-7.832687140389007;-35.881497859954834
3390934;2603900;UNIDADE DE SAUDE DA FAMILIA DE IBITIRANGA;PE;CARNAIBA;56820000;DISTRITO IBITIRANGA;TRAVESSA JOAO JACINTO;S/N;CASA;-7.805;-37.794
3390942;2603900;UNIDADE DE SAUDE DA FAMILIA DO POVOADO DA ITA;PE;CARNAIBA;56820000;POVOADO DA ITA;RUA NOSSA SENHORA DA SAUDE;S/N;;-7.805;-37.794
3266060;2608057;POSTO DE SAUDE DO CALDEIRAO;PE;JATOBA;56470000;ZONA RURAL;SITIO CALDEIRAO;100;ALDEIA INDIGENA PANK;-9.183;-38.269
3423840;2616001;POSTO DE SAUDE ELIAS DE MACEDO GROTAO;PE;VENTUROSA;55270000;ZONA RURAL;DISTRITO GROTAO;S/N;;-8.575;-36.874
3403297;2609907;USF JACARE;PE;OURICURI;56200000;ZONA RURAL;POVOADO DO JACARE;01;CASA;-8.0039537;-40.2908215
2703009;2600500;USF DE CURRAL NOVO;PE;AGUAS BELAS;55340000;DISTRITO;POVOADO DO CURRAL NOVO;S/N;;-9.111;-37.123
7944861;2611507;POSTO DE SAUDE CARMOSINA MARIA DA SILVA;PE;QUIPAPA;55415000;RURAL;FAZENDA SANTO ANTONIO;10;;-8.7954492;-35.9945778
6357504;2701357;SECRETARIA MUNICIPAL DE SAUDE DE CAMPESTRE;AL;CAMPESTRE;57968000;CENTRO;RUA EDSON DA GAMA PEIXOTO;S/N;;-8.8494946;-35.566807
7925190;2704302;ODONTOMED;AL;MACEIO;57020670;CENTRO;RUA DO IMPERADOR;371;;-9.6669821;-35.7347057
7930062;2606804;UNIVERSOFISIO;PE;IGARASSU;53605030;LOT SANTO INACIO;AV DUARTE COELHO;194;;-7.828456880891232;-34.909679889678955
3104184;2606309;USF LAGOA NOVA;PE;GRANITO;56160000;ZONA RURAL;POVOADO DE LAGOA NOVA;S/N;;-7.716;-39.615
3132374;2611101;UBS ROZA MARIA RIBEIRO;PE;PETROLINA;56306260;GERCINO COELHO;AVENIDA DAS NACOES;1000;;-9.4428118;-40.4880138
3136876;2611101;UBS DRA SINHA;PE;PETROLINA;56312301;ALTO DA BOA VISTA;RUA 26;S/N;;-8.426698;-40.7632708
3051765;2608602;PSF DE SAO CRISTOVAO;PE;LAGOA DO OURO;55320000;CENTRO;RUA ARISTIDES NERY MONTEIRO;S/N;CASA;-9.1241942;-36.4605012
3152472;2607950;PSF IV LAGE NOVA;PE;JAQUEIRA;55409000;ZONA RURAL;ENGENHO LAGE NOVA;S/N;ENGENHO;-8.727;-35.793
2428660;2606200;SECRETARIA DE SAUDE DE GOIANA SEDE;PE;GOIANA;55900000;CENTRO;RUA DA PRAIA;S/N;;-7.563694212027112;-34.999308586120605
2008580;2700102;POSTO DE SAUDE ALTO DOS COELHOS;AL;AGUA BRANCA;57490000;ZONA RURAL;POVOADO ALTO DOS COELHOS;S/N;;-9.262;-37.938
9105425;2604106;SEAMA;PE;CARUARU;55012290;MAURICIO DE NASSAU;AV AGAMENON MAGALHAES;444;SALA 425;-8.2737812;-35.9740891
9157050;2600054;PERSONAL SORRISO;PE;ABREU E LIMA;53525790;CENTRO;BRASIL;931;LOJA 7;-7.909331871196412;-34.90186393260956
2711311;2604809;AMBULATORIO BERNARDINO VALENCA BORBA;PE;CORTES;55525000;CENTRO;AV RIO SERINHAEM;21;ANEXO;-8.47;-35.541
2711486;2616407;U S F AGUAS BRANCAS;PE;VITORIA DE SANTO ANTAO;55610350;AGUAS BRANCA;RUA PROF FELIX PAIVA;100;;-8.118;-35.291
2825554;2613404;UNIDADE DE SAUDE DA FAMILIA MATA DO CAJUEIRO;PE;SAO JOSE DA COROA GRANDE;55565000;MATA DO CAJUEIRO;MATA DO CAJUEIRO;S/N;;-8.898;-35.148
9130985;2611606;MAIS VIDA;PE;RECIFE;52011040;GRACAS;AVENIDA RUI BARBOSA;829;;-8.0415374;-34.9033883
2429977;2611101;UBS BERNARDINO CAMPOS COELHO;PE;PETROLINA;56328180;VILA EDUARDO;RUA CABROBO;S/N;;-9.3880376;-40.4861652
2430665;2611101;CLINOCAP;PE;PETROLINA;56306040;CENTRO;RUA MARECHAL DEODORO;928;;-9.4003157;-40.5011308
9171177;2704302;AMED ATENDIMENTO MEDICO;AL;MACEIO;57020250;PRADO;RUA DIAS CABRAL;264;;-9.6706395;-35.7417378
9172580;2702009;POSTO DE SAUDE DE CRUZES;AL;COITE DO NOIA;57325000;ZONA RURAL;POVOADO CRUZES;S/N;;-9.654662;-36.585432
6362982;2708501;SECRETARIA MUNICIPAL DE SAUDE DE SAO LUIZ DO QUITUNDE;AL;SAO LUIS DO QUITUNDE;57920000;CENTRO;AVENIDA JOAQUIM CAVALCANTE;S/N;;-9.318;-35.561
9106375;2704302;CRPA CLINICA RADIOLOGICA POPULAR ALAGOANA;AL;MACEIO;57051600;FAROL;AV SANTA RITA DE CASSIA;84;LAB OSWALDO CRUZ;-9.6526572;-35.7299271
9221034;2708600;CENTRAL DE ABASTECIMENTO FARMACEUTICO CAF;AL;SAO MIGUEL DOS CAMPOS;57240970;CENTRO;RUA BARAO DE JEQUIA;147;;-9.78075;-36.096305
9277560;2608107;SIMOES LABORATORIO;PE;JOAO ALFREDO;55720000;CENTRO;MEIRA VASCONCELOS;S/N;PROXIMO AO N 426;-7.8627453;-35.5907201
3274780;2604106;CEDOC;PE;CARUARU;55014000;MAURICIO DE NASSAU;AV AGAMENON MAGALHAES;834;;-8.274593060657809;-35.97346544265747
6359949;2704302;CONS ODONTOLOGICO HENRIK DOS PRAZERES SILVA;AL;MACEIO;57036510;JATIUCA;RUA DR JOSE AFONSO DE MELO;118;SL 207 ED HARMONY;-9.666013384856118;-35.73483467102051
6361609;2704302;CONS PSICOLOGICO ANA PAULA MARQUES DOS ANJOS;AL;MACEIO;57051370;FAROL;RUA IRIS ALAGOENSE;603;SL 02;-9.6499083;-35.7343505
3303675;2706703;LABMENDES;AL;PENEDO;57200000;SANTA LUZIA;AVENIDA WANDERLEY;465;;-10.2822451;-36.5651282
2345595;2604106;CENTRO DE SAUDE INDIANOPOLIS;PE;CARUARU;55024130;INDIANOPOLIS;RUA ALFERES JORGE;S/N;;-8.2863501;-35.9551241
6362540;2704500;USF CARVAO;AL;MARAGOGI;57955000;CARVAO;RUA JACINTO MARANHAO;93;PRACA DO CARVAO;-9.008149761689154;-35.218305587768555
2345897;2604106;LABORATORIO DE CITO E ANATOMOPATOLOGIA;PE;CARUARU;55006280;DIVINOPOLIS;RUA PROFESSOR VICENTE MONTEIRO;163;;-8.2809223;-35.9755288
